id,name,salary_from,salary_to,salary_currency,area,city,latitude,longitude,employer_url,professional_role
109799989,Менеджер по развитию,,300000,KZT,Алматы,Алматы,43.217404,76.90523,https://hh.ru/employer/2784766,"Менеджер по маркетингу, интернет-маркетолог"
109796311,Администратор ресторана,300000,450000,KZT,Алматы,Алматы,,,https://hh.ru/employer/4246056,Менеджер ресторана
109796250,Фитнес-тренер международного проекта,,200000,RUR,Алматы,Алматы,,,https://hh.ru/employer/9420719,"Фитнес-тренер, инструктор тренажерного зала"
109796012,Старший специалист по вопросам комплаенс,,,,Алматы,Алматы,,,https://hh.ru/employer/31453,Комплаенс-менеджер
109795767,Ведущий специалист по контенту в E-commerce,,,,Алматы,Алматы,,,https://hh.ru/employer/578891,"SMM-менеджер, контент-менеджер"
109795712,Младший медицинский сотрудник,60000,90000,RUR,Алматы,Алматы,55.755864,37.617698,https://hh.ru/employer/4571030,"Медицинская сестра, медицинский брат"
109795641,Медицинская сестра/медицинский брат,180000,200000,KZT,Алматы,Алматы,43.23280715942383,76.87919616699219,https://hh.ru/employer/5318719,"Медицинская сестра, медицинский брат"
109795279,Продавец-консультант,450000,1500000,KZT,Алматы,Алматы,43.236795,76.849588,https://hh.ru/employer/11346035,"Продавец-консультант, продавец-кассир"
109795198,Водитель,,,,Алматы,Алматы,,,https://hh.ru/employer/31453,Водитель
109795118,Личный ассистент,100000,400000,KZT,Алматы,Алматы,43.246206,76.924651,https://hh.ru/employer/9506882,"Секретарь, помощник руководителя, ассистент"
109795106,Воспитатель,200000,270000,KZT,Алматы,Алматы,43.252445,76.875064,https://hh.ru/employer/11567546,"Воспитатель, няня"
109794892,Оператор клининговой компании,200000,300000,KZT,Алматы,Алматы,,,https://hh.ru/employer/2773194,"Уборщица, уборщик"
109794811,Администратор магазина,200000,350000,KZT,Алматы,Алматы,,,https://hh.ru/employer/4834421,Администратор
109794810,Преподаватель в онлайн школу,150000,,KZT,Алматы,Алматы,,,https://hh.ru/employer/9960184,"Учитель, преподаватель, педагог"
109794716,Менеджер по продажам в клининговую компанию,200000,300000,KZT,Алматы,Алматы,,,https://hh.ru/employer/2773194,"Менеджер по продажам, менеджер по работе с клиентами"
109794609,Бариста-кассир,160000,380000,KZT,Алматы,Алматы,43.242969,76.858661,https://hh.ru/employer/6018822,"Официант, бармен, бариста"
109794577,Звукорежиссёр,150000,200000,KZT,Алматы,Алматы,43.19793341081957,76.83997427153139,https://hh.ru/employer/9729751,Другое
109794569,Прораб/Отделочные работы,500000,800000,KZT,Алматы,Алматы,,,https://hh.ru/employer/11032036,"Прораб, мастер СМР"
109794246,Рекрутер на массовый подбор,,325000,KZT,Алматы,Алматы,43.358094,76.861006,https://hh.ru/employer/25870,Специалист по подбору персонала
109200663,Продавец-консультант Yves Rocher в ТРЦ FORUM,180000,,KZT,Алматы,Алматы,43.233787,76.93544,https://hh.ru/employer/2910830,"Продавец-консультант, продавец-кассир"
109793930,Key Account Manager канала E-commerce (КАМ),,,,Алматы,Алматы,43.238509,76.850352,https://hh.ru/employer/25870,"Менеджер по маркетингу, интернет-маркетолог"
109793841,Супервайзер клининговой компании,300000,500000,KZT,Алматы,Алматы,,,https://hh.ru/employer/2773194,Менеджер/руководитель АХО
109792986,Пекарь-кондитер,160000,200000,KZT,Алматы,Алматы,43.2058,76.901385,https://hh.ru/employer/9197464,"Повар, пекарь, кондитер"
109792779,Финансовый директор (CFO),400000,800000,KZT,Алматы,Алматы,43.219256,76.879924,https://hh.ru/employer/9321645,Финансовый директор (CFO)
109792488,Автомеханик,400000,,KZT,Алматы,Алматы,,,https://hh.ru/employer/1649193,"Автослесарь, автомеханик"
109791874,Бухгалтер-Кассир,250000,,KZT,Алматы,Алматы,,,https://hh.ru/employer/1649193,Кассир-операционист
109791539,Бухгалтер на первичную документацию,250000,450000,KZT,Алматы,Алматы,,,https://hh.ru/employer/4974958,Бухгалтер
109789519,UX/UI-дизайнер,200000,350000,KZT,Алматы,Алматы,,,https://hh.ru/employer/2773194,"Дизайнер, художник"
109789516,Руководитель отдела по производству энтомофагов,80000,100000,RUR,Алматы,Алматы,,,https://hh.ru/employer/673538,Начальник производства
109789514,Лаборант по бетону,450000,,KZT,Алматы,Алматы,,,https://hh.ru/employer/9502461,Лаборант
109789352,Упаковщик,170000,190000,KZT,Алматы,Алматы,43.201226,76.873681,https://hh.ru/employer/11567385,"Упаковщик, комплектовщик"
109789328,Стоматолог-имплантолог,350000,1000000,KZT,Алматы,Алматы,43.258374,76.934542,https://hh.ru/employer/6124012,Врач
109240866,Водитель-экспедитор,380000,400000,KZT,Алматы,Алматы,43.362394,76.893722,https://hh.ru/employer/599786,Водитель
107166729,Экспедитор,250000,280000,KZT,Алматы,Алматы,43.362394,76.893722,https://hh.ru/employer/599786,Грузчик
109240881,Упаковщик товаров,220000,240000,KZT,Алматы,Алматы,43.362394,76.893722,https://hh.ru/employer/599786,"Упаковщик, комплектовщик"
109789117,Фитнес-тренер/инструктор тренажерного зала,200000,300000,KZT,Алматы,Алматы,43.214362,76.790874,https://hh.ru/employer/11567376,"Фитнес-тренер, инструктор тренажерного зала"
109788914,Энтомолог / Энтомолог - биолог (научный сотрудник),50000,250000,RUR,Алматы,Алматы,,,https://hh.ru/employer/673538,"Научный специалист, исследователь"
109788738,HR менеджер,600000,700000,KZT,Алматы,Алматы,43.215794,76.928478,https://hh.ru/employer/3740407,Специалист по подбору персонала
108433841,Менеджер по продажам в сегменте B2B,500000,,KZT,Алматы,Алматы,43.23022,76.945106,https://hh.ru/employer/2388121,"Менеджер по продажам, менеджер по работе с клиентами"
109787014,SMM-менеджер в магазин мужской одежды,250000,350000,KZT,Алматы,Алматы,,,https://hh.ru/employer/4531189,"SMM-менеджер, контент-менеджер"
109785602,Главный специалист по привлечению корпоративных клиентов,,,,Алматы,Алматы,43.22597,76.942959,https://hh.ru/employer/123401,Менеджер по работе с партнерами
109785023,Преподаватель по вокалу в Школу Рока,100000,250000,KZT,Алматы,Алматы,43.238096,76.889213,https://hh.ru/employer/5264221,Другое
109784849,Менеджер по продажам,350000,500000,KZT,Алматы,Алматы,,,https://hh.ru/employer/11567272,"Менеджер по продажам, менеджер по работе с клиентами"
109783991,Преподаватель английского языка,150000,350000,KZT,Алматы,Алматы,43.183105,76.780517,https://hh.ru/employer/11524301,"Учитель, преподаватель, педагог"
109783912,Бухгалтер,350000,400000,KZT,Алматы,Алматы,43.254401,76.931784,https://hh.ru/employer/6038956,Бухгалтер
109783381,Менеджер по продажам,250000,500000,KZT,Алматы,Алматы,,,https://hh.ru/employer/11567128,"Менеджер по продажам, менеджер по работе с клиентами"
109783268,Интернет-маркетолог,300000,800000,KZT,Алматы,Алматы,43.234621,76.895896,https://hh.ru/employer/11567064,Маркетолог-аналитик
109783228,Специалист казначейства,,,,Алматы,Алматы,,,https://hh.ru/employer/1740,Казначей
109783009,Account Director,700000,1200000,KZT,Алматы,Алматы,43.248675,76.965327,https://hh.ru/employer/1562966,Директор по маркетингу и PR (CMO)
109782233,"Кладовщик на склад в магазин adidas Originals, FULL TIME, ""Dostyk Plaza""",,,,Алматы,Алматы,,,https://hh.ru/employer/578891,Кладовщик
109782169,Digital project manager,,,,Алматы,Алматы,,,https://hh.ru/employer/2622045,"Менеджер по продажам, менеджер по работе с клиентами"
109780923,Программист Linux,,,,Алматы,Алматы,,,https://hh.ru/employer/9581486,"Программист, разработчик"
109778909,Менеджер по работе с ключевыми клиентами (Онкология),,,,Алматы,Алматы,,,https://hh.ru/employer/2768,Медицинский представитель
109778833,Системный администратор Linux,,,,Алматы,Алматы,,,https://hh.ru/employer/111928,Системный администратор
109778253,Бухгалтер,,,,Алматы,Алматы,,,https://hh.ru/employer/67831,Бухгалтер
